name,model,price,country,mileage,registration,transmission,power,fueltype,Citigo,Enyaq iV,Fabia,Kamiq,Karoq,Kodiaq,Octavia,Rapid,Scala,Superb,Yeti,Automat,Manuál,Benzín,CNG,Diesel,Elektřina,Hybrid,LPG,Ostatní paliva
Skoda Rapid 66 kW,Rapid,207990,Polsko,150814,2017,Manuál,66,Diesel,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
Skoda Karoq 1.5 TSI ACT DSG 110 kW,Karoq,773490,Německo,9912,2021,Automat,110,Benzín,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Skoda Enyaq iV 60 Sportline 132 kW,Enyaq iV,1132490,Francie,1000,2021,Automat,132,Elektřina,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Skoda Scala 110 kW,Scala,649990,Německo,17233,2020,Manuál,110,Benzín,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Skoda Karoq 1.5 TSI ACT DSG 110 kW,Karoq,739990,Německo,22500,2021,Automat,110,Benzín,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Skoda Superb 147 kW,Superb,1087990,Německo,20544,2021,Automat,147,Diesel,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
Skoda Scala 110 kW,Scala,598490,Německo,8806,2020,Manuál,110,Benzín,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Skoda Superb 2.0 TSI 4x4 DSG L&K 200 kW,Superb,963990,Německo,2482,2020,Automat,200,Benzín,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
Skoda Kamiq 1.6 TDI Ambition 85 kW,Kamiq,592990,Španělsko,23999,2020,Manuál,85,Diesel,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Skoda Superb 147 kW,Superb,1035990,Německo,495,2021,Automat,147,Diesel,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
Skoda Karoq 1.0 TSI Ambition 85 kW,Karoq,536990,Francie,19801,2020,Manuál,85,Benzín,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Skoda Kamiq 1.0 TSI Active 85 kW,Kamiq,471490,Německo,1882,2021,Manuál,85,Benzín,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Skoda Octavia 2.0 TDI DSG Style 110 kW,Octavia,738990,Francie,7424,2021,Automat,110,Diesel,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
Skoda Rapid 1.4 TSI DSG Ambition 90 kW,Rapid,308990,Německo,15300,2013,Automat,90,Benzín,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
Skoda Superb 140 kW,Superb,551490,Polsko,65000,2018,Manuál,140,Diesel,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
Skoda Kamiq 1.5 TSI DSG Style 110 kW,Kamiq,608990,Švédsko,14500,2020,Automat,110,Benzín,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Skoda Kodiaq 2.0 TSI ACT 4x4 DSG 140 kW,Kodiaq,1160990,Německo,1000,2021,Automat,140,Benzín,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Skoda Superb 2.0 TDI Tec Ambition 110 kW,Superb,904490,Německo,22770,2021,Automat,110,Diesel,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
Skoda Superb 1.4 TSI Green Tec Active 92 kW,Superb,435490,Německo,61635,2017,Manuál,92,Benzín,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
Skoda Octavia 1.0 TSI DSG 85 kW,Octavia,455990,Španělsko,35519,2018,Automat,85,Benzín,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
Skoda Scala 1.5 TSI DSG Style 110 kW,Scala,542490,Slovensko,25401,2019,Automat,110,Benzín,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
Skoda Scala 1.6 TDI DSG Style 85 kW,Scala,686990,Belgie,23054,2021,Automat,85,Diesel,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
Skoda Scala 1.0 TSI Ambition 81 kW,Scala,461990,Španělsko,21492,2021,Manuál,81,Benzín,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Skoda Kodiaq 2.0 4x4 DSG RS 176 kW,Kodiaq,1220990,Německo,22600,2020,Automat,176,Diesel,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Skoda Octavia 2.0 TSI Green Tec RS 245 180 kW,Octavia,598990,Švédsko,78030,2017,Automat,180,Benzín,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
Skoda Karoq 1.0 TSI Ambition 85 kW,Karoq,503990,Španělsko,102504,2018,Manuál,85,Benzín,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Skoda Fabia 1.4 TDI Style 77 kW,Fabia,283990,Slovensko,78663,2017,Manuál,77,Diesel,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Skoda Karoq 1.5 TSI ACT DSG 110 kW,Karoq,681490,Francie,12000,2020,Automat,110,Benzín,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Skoda Octavia 150 kW,Octavia,804990,Itálie,2853,2021,Automat,150,Ostatní paliva,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Skoda Rapid 1.6 TDI DSG 66 kW,Rapid,221990,Německo,132450,2014,Automat,66,Diesel,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
Skoda Karoq 1.0 TSI Ambition 85 kW,Karoq,484990,Švédsko,30170,2018,Manuál,85,Benzín,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Skoda Scala 110 kW,Scala,649990,Německo,14810,2020,Manuál,110,Benzín,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Skoda Superb 147 kW,Superb,1047990,Německo,28800,2021,Automat,147,Diesel,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
Skoda Karoq 1.5 TSI ACT DSG 110 kW,Karoq,764990,Francie,500,2021,Automat,110,Benzín,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Skoda Scala Ambition 110 kW,Scala,726990,Německo,6000,2021,Manuál,110,Benzín,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Skoda Karoq 1.0 TSI Ambition 85 kW,Karoq,476490,Švédsko,36360,2018,Manuál,85,Benzín,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Skoda Yeti 1.2 TSI 77 kW,Yeti,201990,Německo,150000,2012,Manuál,77,Benzín,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
Skoda Octavia 2.0 TDI Green Tec Style Business 110 kW,Octavia,495490,Německo,92335,2018,Automat,110,Diesel,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
Skoda Kodiaq 2.0 TSI ACT 4x4 DSG 140 kW,Kodiaq,1035490,Německo,26525,2020,Automat,140,Benzín,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Skoda Kodiaq 2.0 4x4 DSG RS 176 kW,Kodiaq,1293990,Německo,23064,2020,Automat,176,Diesel,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Skoda Scala 110 kW,Scala,634490,Německo,2500,2022,Manuál,110,Benzín,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Skoda Kamiq 1.0 TSI 85 kW,Kamiq,443490,Polsko,17200,2020,Manuál,85,Benzín,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Skoda Karoq 1.0 TSI Ambition 85 kW,Karoq,467990,Švédsko,59060,2018,Manuál,85,Benzín,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Skoda Superb 2.0 TDI Green Tec Ambition 110 kW,Superb,567490,Německo,54096,2018,Manuál,110,Diesel,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
Skoda Scala 110 kW,Scala,649490,Německo,1000,2021,Manuál,110,Benzín,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Skoda Scala 1.0 TSI 70 kW,Scala,414990,Německo,16800,2019,Manuál,70,Benzín,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Skoda Karoq 1.5 TSI ACT DSG 110 kW,Karoq,765490,Německo,25319,2021,Automat,110,Benzín,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Skoda Rapid 85 kW,Rapid,267990,Slovensko,146506,2016,Manuál,85,Diesel,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
Skoda Octavia 1.6 TDI Green Tec Ambition 85 kW,Octavia,393990,Německo,109000,2018,Manuál,85,Diesel,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
Skoda Kodiaq 2.0 TSI ACT 4x4 DSG 140 kW,Kodiaq,984490,Německo,16900,2021,Automat,140,Benzín,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Skoda Yeti 1.4 TSI 90 kW,Yeti,343490,Německo,99550,2015,Manuál,90,Benzín,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
Skoda Kamiq 1.0 TSI Ambition 85 kW,Kamiq,485990,Francie,22682,2019,Manuál,85,Benzín,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Skoda Karoq 1.5 TSI ACT DSG 110 kW,Karoq,685490,Slovensko,20000,2021,Automat,110,Benzín,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Skoda Karoq 1.5 TSI ACT DSG 110 kW,Karoq,688990,Francie,14440,2020,Automat,110,Benzín,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Skoda Superb Combi 2.0 TDI Green Tec Business Edition 110 kW,Superb,597490,Německo,30010,2019,Manuál,110,Diesel,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
Skoda Kodiaq 2.0 TDI DSG 110 kW,Kodiaq,660990,Francie,53540,2018,Automat,110,Diesel,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Skoda Rapid 66 kW,Rapid,223490,Polsko,150334,2017,Manuál,66,Diesel,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
Skoda Enyaq iV 60 132 kW,Enyaq iV,967490,Francie,7000,2021,Automat,132,Elektřina,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Skoda Karoq 1.5 TSI ACT DSG 110 kW,Karoq,765490,Německo,16900,2021,Automat,110,Benzín,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Skoda Kamiq 1.0 TSI Style 85 kW,Kamiq,520990,Německo,12300,2020,Manuál,85,Benzín,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Skoda Karoq 1.5 TSI ACT DSG Style 110 kW,Karoq,778490,Německo,11000,2021,Automat,110,Benzín,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Skoda Scala 1.6 TDI DSG 85 kW,Scala,625490,Francie,5000,2021,Automat,85,Diesel,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
Skoda Karoq 1.5 TSI ACT Ambition 110 kW,Karoq,587990,Španělsko,34157,2019,Manuál,110,Benzín,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Skoda Scala 1.0 TSI DSG Style 81 kW,Scala,570490,Německo,4500,2021,Automat,81,Benzín,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
Skoda Yeti 1.4 TSI 92 kW,Yeti,407990,Německo,65090,2017,Manuál,92,Benzín,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
Skoda Superb 147 kW,Superb,962990,Švédsko,19800,2021,Automat,147,Diesel,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
Skoda Octavia 2.0 TDI DSG 110 kW,Octavia,675990,Francie,8198,2021,Automat,110,Diesel,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
Skoda Octavia 110 kW,Octavia,488990,Španělsko,33474,2020,Manuál,110,Benzín,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
Skoda Octavia 1.5 TSI ACT Style 110 kW,Octavia,597990,Německo,9200,2020,Manuál,110,Benzín,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
Skoda Kodiaq 2.0 TDI DSG 110 kW,Kodiaq,927990,Německo,28421,2021,Automat,110,Diesel,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Skoda Scala 110 kW,Scala,649990,Německo,11500,2020,Manuál,110,Benzín,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Skoda Kodiaq 147 kW,Kodiaq,1061990,Německo,22350,2021,Automat,147,Diesel,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Skoda Fabia 1.4 TDI 77 kW,Fabia,233990,Polsko,95105,2016,Manuál,77,Diesel,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Skoda Kodiaq 132 kW,Kodiaq,730490,Švédsko,53000,2018,Automat,132,Benzín,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Skoda Yeti 2.0 TDI 4x4 Ambition 81 kW,Yeti,367490,Slovensko,89112,2017,Manuál,81,Diesel,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
Skoda Fabia 1.0 MPI Cool Plus 55 kW,Fabia,295990,Německo,28284,2018,Manuál,55,Benzín,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Skoda Yeti 2.0 TDI 103 kW,Yeti,348490,Německo,99800,2014,Manuál,103,Diesel,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
Skoda Karoq 1.6 TDI SCR 85 kW,Karoq,485990,Francie,53670,2017,Manuál,85,Diesel,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Skoda Scala 110 kW,Scala,725490,Německo,16503,2021,Manuál,110,Benzín,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Skoda Scala 1.0 TSI DSG Ambition 81 kW,Scala,509490,Španělsko,15317,2021,Automat,81,Benzín,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
Skoda Kodiaq 2.0 TSI ACT 4x4 DSG Style 140 kW,Kodiaq,963990,Německo,26268,2020,Automat,140,Benzín,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Skoda Karoq 1.6 TDI SCR DSG 85 kW,Karoq,599990,Francie,23517,2019,Automat,85,Diesel,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Skoda Kodiaq 2.0 TDI DSG 110 kW,Kodiaq,823990,Německo,41600,2019,Automat,110,Diesel,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Skoda Octavia 2.0 TDI DSG Tour 110 kW,Octavia,750490,Německo,22766,2020,Automat,110,Diesel,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
Skoda Kodiaq 2.0 TDI DSG 110 kW,Kodiaq,675990,Francie,41804,2018,Automat,110,Diesel,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Skoda Kodiaq 2.0 TDI DSG Ambition 110 kW,Kodiaq,907490,Německo,12500,2021,Automat,110,Diesel,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Skoda Scala 1.0 TSI Ambition 81 kW,Scala,473990,Španělsko,21524,2021,Manuál,81,Benzín,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Skoda Kamiq 1.5 TSI DSG Ambition 110 kW,Kamiq,612990,Francie,5350,2021,Automat,110,Benzín,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Skoda Karoq 1.5 TSI ACT DSG Ambition 110 kW,Karoq,637990,Francie,8939,2020,Automat,110,Benzín,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Skoda Scala 1.0 TSI DSG Active 85 kW,Scala,440990,Slovensko,17098,2020,Automat,85,Benzín,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
Skoda Kodiaq 2.0 TSI ACT 4x4 DSG Ambition 140 kW,Kodiaq,1002490,Německo,10714,2021,Automat,140,Benzín,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Skoda Yeti 1.8 TSI DSG 4x4 Ambition 112 kW,Yeti,238990,Německo,111870,2013,Automat,112,Benzín,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
Skoda Citigo 1.0 MPI Tec Style 44 kW,Citigo,274490,Německo,14000,2019,Manuál,44,Benzín,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Skoda Scala 110 kW,Scala,713490,Německo,25170,2021,Manuál,110,Benzín,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Skoda Scala 110 kW,Scala,742490,Německo,8500,2021,Manuál,110,Benzín,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Skoda Fabia 1.0 TSI 70 kW,Fabia,265490,Polsko,98977,2018,Manuál,70,Benzín,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Skoda Karoq 1.5 TSI ACT DSG Style 110 kW,Karoq,815490,Německo,2856,2021,Automat,110,Benzín,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Skoda Citigo 1.0 MPI Active 44 kW,Citigo,119490,Německo,100000,2015,Manuál,44,Benzín,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Skoda Octavia 2.0 TSI DSG RS60 180 kW,Octavia,898990,Německo,12700,2020,Automat,180,Benzín,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
Skoda Citigo 1.0 MPI Elegance 55 kW,Citigo,204490,Německo,56900,2014,Automat,55,Benzín,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Skoda Superb 147 kW,Superb,1112990,Německo,26742,2021,Automat,147,Diesel,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
Skoda Superb 147 kW,Superb,1164990,Německo,18261,2021,Automat,147,Diesel,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
Skoda Octavia 1.5 TSI ACT Style 110 kW,Octavia,778490,Německo,4000,2021,Manuál,110,Benzín,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
Skoda Scala 110 kW,Scala,668990,Německo,15900,2021,Manuál,110,Benzín,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Skoda Kodiaq 2.0 TSI ACT 4x4 DSG 140 kW,Kodiaq,971990,Německo,19900,2021,Automat,140,Benzín,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Skoda Scala 1.5 TSI DSG Style 110 kW,Scala,534490,Německo,23000,2019,Automat,110,Benzín,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
Skoda Karoq 1.5 TSI ACT DSG Style 110 kW,Karoq,709490,Německo,15000,2020,Automat,110,Benzín,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Skoda Enyaq iV 80 150 kW,Enyaq iV,1233490,Francie,1000,2021,Automat,150,Elektřina,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Skoda Kodiaq 147 kW,Kodiaq,1097990,Německo,27990,2021,Automat,147,Diesel,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Skoda Scala 110 kW,Scala,693490,Německo,15443,2021,Manuál,110,Benzín,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Skoda Yeti 2.0 TDI Ambition 81 kW,Yeti,270490,Německo,125489,2013,Manuál,81,Diesel,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
Skoda Karoq 1.0 TSI Ambition 85 kW,Karoq,477990,Švédsko,31030,2018,Manuál,85,Benzín,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Skoda Octavia 150 kW,Octavia,896490,Lucembursko,36736,2021,Automat,150,Hybrid,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
Skoda Superb 1.6 TDI Green Tec Ambition 90 kW,Superb,473490,Německo,71436,2017,Manuál,90,Diesel,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
Skoda Superb 147 kW,Superb,1291490,Německo,18000,2020,Automat,147,Diesel,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
Skoda Rapid 70 kW,Rapid,271490,Německo,65669,2017,Manuál,70,Benzín,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
Skoda Superb Combi 2.0 TDI Green Tec Business Edition 110 kW,Superb,737490,Francie,19364,2021,Automat,110,Diesel,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
Skoda Scala 110 kW,Scala,659990,Německo,21731,2020,Manuál,110,Benzín,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Skoda Kodiaq Style 147 kW,Kodiaq,1267990,Německo,500,2021,Automat,147,Diesel,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Skoda Fabia 1.0 TSI 70 kW,Fabia,409990,Francie,13268,2021,Automat,70,Benzín,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Skoda Rapid 1.0 TSI Style 81 kW,Rapid,318490,Německo,117100,2018,Manuál,81,Benzín,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
Skoda Kodiaq 147 kW,Kodiaq,1267990,Německo,500,2021,Automat,147,Diesel,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Skoda Superb 2.0 TSI DSG Ambition 140 kW,Superb,841990,Německo,27534,2021,Automat,140,Benzín,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
Skoda Yeti 1.4 TSI Ambition Green tec 90 kW,Yeti,333990,Německo,104163,2015,Manuál,90,Benzín,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
Skoda Scala 1.0 TSI 81 kW,Scala,492990,Německo,16255,2021,Manuál,81,Benzín,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Skoda Kodiaq 147 kW,Kodiaq,1084490,Německo,27900,2021,Automat,147,Diesel,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Skoda Rapid 81 kW,Rapid,274490,Polsko,74447,2016,Manuál,81,Benzín,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
Skoda Kodiaq 147 kW,Kodiaq,1165490,Německo,250,2021,Automat,147,Diesel,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Skoda Citigo 1.0 MPI Active 44 kW,Citigo,189990,Francie,25662,2018,Manuál,44,Benzín,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Skoda Octavia 110 kW,Octavia,509490,Španělsko,31620,2020,Manuál,110,Benzín,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
Skoda Superb 147 kW,Superb,1087490,Německo,27475,2021,Automat,147,Diesel,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
Skoda Kodiaq 2.0 TSI ACT 4x4 DSG Ambition 140 kW,Kodiaq,996490,Německo,20740,2021,Automat,140,Benzín,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Skoda Karoq 1.5 TSI ACT DSG 110 kW,Karoq,733990,Německo,26416,2021,Automat,110,Benzín,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Skoda Superb 2.0 TDI 4x4 110 kW,Superb,469490,Německo,139000,2017,Manuál,110,Diesel,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
Skoda Yeti 2.0 TDI Ambition 81 kW,Yeti,311990,Německo,99999,2014,Manuál,81,Diesel,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
Skoda Octavia 2.0 TDI 4x4 DSG 110 kW,Octavia,422990,Francie,106828,2018,Automat,110,Diesel,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
Skoda Fabia 1.2 TSI 66 kW,Fabia,181490,Polsko,97570,2016,Manuál,66,Benzín,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Skoda Scala Ambition 110 kW,Scala,688490,Německo,27300,2021,Manuál,110,Benzín,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Skoda Karoq 1.6 TDI SCR 85 kW,Karoq,483490,Francie,62416,2017,Manuál,85,Diesel,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Skoda Karoq 1.5 TSI ACT DSG 110 kW,Karoq,829990,Německo,14800,2021,Automat,110,Benzín,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Skoda Karoq 2.0 TDI SCR 4x4 DSG Style 110 kW,Karoq,932490,Německo,5056,2021,Automat,110,Diesel,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Skoda Kodiaq 180 kW,Kodiaq,1255490,Německo,5500,2021,Automat,180,Benzín,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Skoda Superb 2.0 TSI DSG Ambition 140 kW,Superb,824990,Německo,27223,2021,Automat,140,Benzín,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
Skoda Octavia 110 kW,Octavia,488990,Španělsko,33474,2020,Manuál,110,Benzín,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
Skoda Karoq 1.0 TSI Ambition 85 kW,Karoq,460990,Francie,60485,2018,Manuál,85,Benzín,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Skoda Superb 2.0 TSI 4x4 DSG L&K 200 kW,Superb,1138990,Německo,23870,2021,Automat,200,Benzín,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
Skoda Rapid 81 kW,Rapid,244990,Polsko,121616,2017,Manuál,81,Benzín,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
